TagCode,Subbasin,ReleaseSite,FirstWellsDate,LastDetectionDate,LastDetectionSite,Fate,Basin,SpillYear,WellsYear,ClassifiedZone,CorrectedFate,Rear Type Code,Harvest_Status,HarvestExposure,FallSpillHours,FallSpillDays,FallTotalSpill,SpringSpillHours,SpringSpillDays,SpringTotalSpill,ReturnedDownstream
3D9.1C2D2DB850,Wenatchee,WENATR - Wenatchee River,2012-08-21T14:46:00Z,2012-08-21T14:47:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2013,2012,Wells Dam,At Wells,H,Open,1,600,39,9666.8,72,19,1117.1,0
3D9.1C2D2DB8B5,Wenatchee,WENATR - Wenatchee River,2012-10-05T06:15:00Z,2012-10-05T07:44:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2013,2012,Wells Dam,At Wells,H,Open,1,600,39,9666.8,72,19,1117.1,0
3D9.1C2D3A654E,Wenatchee,WENATR - Wenatchee River,2011-09-02T13:23:00Z,2012-04-13T11:46:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2012,2011,Wells Dam,At Wells,H,Open,1,634,31,6876.1,143,15,2877.1,0
3D9.1C2D3A6720,Wenatchee,WENATR - Wenatchee River,2011-09-15T16:09:00Z,2012-04-24T14:08:00Z,RRJ - Rocky Reach Dam Juvenile,Downstream,Wenatchee,2012,2011,Below,Downstream,H,Open,1,634,31,6876.1,143,15,2877.1,1
3D9.1C2D3A6BB8,Wenatchee,WENATR - Wenatchee River,2011-08-24T15:53:00Z,2011-08-24T15:56:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2012,2011,Wells Dam,At Wells,H,Open,1,634,31,6876.1,143,15,2877.1,0
3D9.1C2D3A6D87,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2012-03-31T21:25:00Z,2012-03-31T21:56:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2012,2012,Wells Dam,At Wells,H,Open,1,634,31,6876.1,143,15,2877.1,0
3D9.1C2D3A6DAE,Wenatchee,WENATR - Wenatchee River,2011-10-09T13:34:00Z,2011-10-10T08:31:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2012,2011,Wells Dam,At Wells,H,Open,1,634,31,6876.1,143,15,2877.1,0
3D9.1C2D3A7095,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2012-09-23T12:41:00Z,2013-04-26T17:04:00Z,TUF - Tumwater Dam Adult Fishway,Downstream,Wenatchee,2013,2012,Below,Downstream,H,Open,1,600,39,9666.8,72,19,1117.1,1
3D9.1C2D3A719C,Wenatchee,WENATR - Wenatchee River,2012-09-06T09:56:00Z,2013-02-10T10:50:00Z,ICL - Lower Icicle Instream Array,Downstream,Wenatchee,2013,2012,Below,Downstream,H,Open,1,600,39,9666.8,72,19,1117.1,1
3D9.1C2D3A72C3,Wenatchee,WENATR - Wenatchee River,2011-09-27T08:39:00Z,2011-09-27T08:39:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2012,2011,Wells Dam,At Wells,H,Open,1,634,31,6876.1,143,15,2877.1,0
3D9.1C2D3A734D,Wenatchee,WENATR - Wenatchee River,2011-08-25T14:41:00Z,2011-08-25T14:45:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2012,2011,Wells Dam,At Wells,H,Open,1,634,31,6876.1,143,15,2877.1,0
3D9.1C2D3A7445,Wenatchee,WENATR - Wenatchee River,2011-09-02T15:51:00Z,2011-09-02T15:56:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2012,2011,Wells Dam,At Wells,H,Open,1,634,31,6876.1,143,15,2877.1,0
3D9.1C2D3A785B,Wenatchee,WENATR - Wenatchee River,2012-10-08T22:33:00Z,2012-10-08T22:37:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2013,2012,Wells Dam,At Wells,H,Open,1,600,39,9666.8,72,19,1117.1,0
3D9.1C2D3A7A34,Wenatchee,WENATR - Wenatchee River,2012-07-05T07:37:00Z,2012-07-13T19:49:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2013,2012,Wells Dam,At Wells,H,Open,1,600,39,9666.8,72,19,1117.1,0
3D9.1C2D3A7E9D,Wenatchee,WENATR - Wenatchee River,2011-09-15T03:04:00Z,2011-09-15T03:06:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2012,2011,Wells Dam,At Wells,H,Open,1,634,31,6876.1,143,15,2877.1,0
3D9.1C2D3A839A,Wenatchee,WENATR - Wenatchee River,2011-09-05T18:06:00Z,2011-09-05T18:06:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2012,2011,Wells Dam,At Wells,H,Open,1,634,31,6876.1,143,15,2877.1,0
3D9.1C2D3A8529,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2011-11-01T12:29:00Z,2011-11-01T12:29:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2012,2011,Wells Dam,At Wells,H,Open,1,634,31,6876.1,143,15,2877.1,0
3D9.1C2D3A8674,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2011-09-14T18:38:00Z,2011-09-14T18:39:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2012,2011,Wells Dam,At Wells,H,Open,1,634,31,6876.1,143,15,2877.1,0
3D9.1C2D3A8751,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2011-10-18T15:53:00Z,2011-10-18T15:54:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2012,2011,Wells Dam,At Wells,H,Open,1,634,31,6876.1,143,15,2877.1,0
3D9.1C2D3A8E38,Wenatchee,WENATR - Wenatchee River,2012-09-01T11:27:00Z,2012-09-01T11:27:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2013,2012,Wells Dam,At Wells,H,Open,1,600,39,9666.8,72,19,1117.1,0
3D9.1C2D3A8E43,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2012-04-17T17:15:00Z,2012-04-17T21:19:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2012,2012,Wells Dam,At Wells,H,Open,1,634,31,6876.1,143,15,2877.1,0
3D9.1C2D3A8F04,Wenatchee,WENATR - Wenatchee River,2011-08-25T08:05:00Z,2011-08-25T08:06:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2012,2011,Wells Dam,At Wells,H,Open,1,634,31,6876.1,143,15,2877.1,0
3D9.1C2D3A919E,Wenatchee,WENATR - Wenatchee River,2011-08-15T17:16:00Z,2011-08-15T17:17:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2012,2011,Wells Dam,At Wells,H,Open,1,634,31,6876.1,143,15,2877.1,0
