Tag Code,Mark Site Name,Mark Date MMDDYYYY,Release Site Name,Release Date MMDDYYYY,Species Code,Species Name,Rear Type Code,Rear Type Name,Mark Count
3D9.1C2C50A4A7,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50A51A,EBNK - East Bank Hatchery,5/17/2010,WENATR - Wenatchee River,5/17/2010,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50A534,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50A536,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50A5A4,EBNK - East Bank Hatchery,9/4/2007,WENATR - Wenatchee River,5/5/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50AF2B,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50C954,ENTIAR - Entiat River,5/6/2008,ENTIAR - Entiat River,5/6/2008,3,Steelhead,W,Wild Fish or Natural Production,1
3D9.1C2C50CC1F,ENTIAR - Entiat River,5/7/2008,ENTIAR - Entiat River,5/8/2008,3,Steelhead,W,Wild Fish or Natural Production,1
3D9.1C2C50D3A6,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50D574,ENTIAR - Entiat River,8/13/2008,MADRVR - Mad River (Entiat River watershed),8/13/2008,3,Steelhead,W,Wild Fish or Natural Production,1
3D9.1C2C50D910,ENTIAR - Entiat River,5/7/2008,ENTIAR - Entiat River,5/8/2008,3,Steelhead,W,Wild Fish or Natural Production,1
3D9.1C2C50D999,ENTIAR - Entiat River,5/6/2008,ENTIAR - Entiat River,5/6/2008,3,Steelhead,W,Wild Fish or Natural Production,1
3D9.1C2C50DD03,WENATT - Wenatchee River trap at West Monitor Bridge,4/19/2008,WENATT - Wenatchee River trap at West Monitor Bridge,4/20/2008,3,Steelhead,W,Wild Fish or Natural Production,1
3D9.1C2C50DE54,ENTIAR - Entiat River,5/7/2008,ENTIAR - Entiat River,5/8/2008,3,Steelhead,W,Wild Fish or Natural Production,1
3D9.1C2C50DE70,ENTIAR - Entiat River,5/8/2008,ENTIAR - Entiat River,5/10/2008,3,Steelhead,W,Wild Fish or Natural Production,1
3D9.1C2C50E3FD,ENTIAR - Entiat River,5/7/2008,ENTIAR - Entiat River,5/8/2008,3,Steelhead,W,Wild Fish or Natural Production,1
3D9.1C2C50E4E5,EBNK - East Bank Hatchery,9/4/2007,WENATR - Wenatchee River,5/5/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50E5B3,ENTIAR - Entiat River,5/7/2008,ENTIAR - Entiat River,5/8/2008,3,Steelhead,W,Wild Fish or Natural Production,1
3D9.1C2C50E937,TURO - Turtle Rock Pond,5/6/2008,WENATR - Wenatchee River,5/6/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50E941,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50EBCA,ENTIAR - Entiat River,5/6/2008,ENTIAR - Entiat River,5/6/2008,3,Steelhead,W,Wild Fish or Natural Production,1
3D9.1C2C50ECFC,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50EECA,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50EF58,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C50F30C,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C51009A,TURO - Turtle Rock Pond,5/6/2008,WENATR - Wenatchee River,5/6/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C510139,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C5102E0,ENTIAR - Entiat River,5/9/2008,ENTIAR - Entiat River,5/11/2008,3,Steelhead,W,Wild Fish or Natural Production,1
3D9.1C2C5103FF,ENTIAR - Entiat River,11/20/2008,ENTIAR - Entiat River,11/20/2008,3,Steelhead,W,Wild Fish or Natural Production,1
3D9.1C2C51044D,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C5108BC,TURO - Turtle Rock Pond,5/6/2008,WENATR - Wenatchee River,5/6/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C510C7C,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C510E37,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C5110E2,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C5111B8,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C511ADD,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C512029,EBNK - East Bank Hatchery,9/4/2007,WENATR - Wenatchee River,5/5/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C5121CB,TURO - Turtle Rock Pond,5/6/2008,WENATR - Wenatchee River,5/6/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C5121FB,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C5126D9,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C51271D,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C512859,TURO - Turtle Rock Pond,5/6/2008,WENATR - Wenatchee River,5/6/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C51291F,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C512C35,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C512C5A,EBNK - East Bank Hatchery,9/4/2007,WENATR - Wenatchee River,5/5/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C512DE1,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C5130A9,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C513DF4,TURO - Turtle Rock Pond,5/6/2008,WENATR - Wenatchee River,5/6/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C5145A2,TURO - Turtle Rock Pond,5/5/2008,NASONC - Nason Creek (tributary to Wenatchee River),5/5/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C515851,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C515924,TURO - Turtle Rock Pond,5/6/2008,WENATR - Wenatchee River,5/6/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C515D83,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C515E3E,EBNK - East Bank Hatchery,9/4/2007,WENATR - Wenatchee River,5/5/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C515F2A,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C515F46,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C516207,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C516241,TURO - Turtle Rock Pond,5/6/2008,WENATR - Wenatchee River,5/6/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C516FC1,ENTIAR - Entiat River,5/8/2008,ENTIAR - Entiat River,5/10/2008,3,Steelhead,W,Wild Fish or Natural Production,1
3D9.1C2C517149,ENTIAR - Entiat River,5/15/2008,ENTIAR - Entiat River,5/16/2008,3,Steelhead,W,Wild Fish or Natural Production,1
3D9.1C2C517A68,ENTIAR - Entiat River,11/20/2008,ENTIAR - Entiat River,11/20/2008,3,Steelhead,W,Wild Fish or Natural Production,1
3D9.1C2C518264,ENTIAR - Entiat River,5/6/2008,ENTIAR - Entiat River,5/6/2008,3,Steelhead,W,Wild Fish or Natural Production,1
3D9.1C2C51CD86,ENTIAR - Entiat River,5/6/2008,ENTIAR - Entiat River,5/6/2008,3,Steelhead,W,Wild Fish or Natural Production,1
3D9.1C2C56FBC0,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C56FBC2,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C56FC08,TURO - Turtle Rock Pond,5/6/2008,WENATR - Wenatchee River,5/6/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C56FC5D,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C56FCF3,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C56FE74,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C56FFB5,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C56FFD6,TURO - Turtle Rock Pond,5/6/2008,WENATR - Wenatchee River,5/6/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C570166,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C570194,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C570209,TURO - Turtle Rock Pond,5/8/2008,WENATR - Wenatchee River,5/8/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C57031F,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C5703AF,TURO - Turtle Rock Pond,5/7/2008,WENATR - Wenatchee River,5/7/2008,3,Steelhead,H,Hatchery Reared,1
3D9.1C2C5703E6,EBNK - East Bank Hatchery,9/4/2007,WENATR - Wenatchee River,5/5/2008,3,Steelhead,H,Hatchery Reared,1
