TagCode,ReturnYear,ReturnSeason,p_enl_safe,p_lmr_safe,p_okl_safe,prob_ent,prob_met,prob_oka,prob_other
3DD.007736FF2C,2024,Fall,0.29986498961894004,0.9954047235188354,0.9987881907442469,0.8563881803279847,2.6963896752262836e-4,9.861321655183758e-6,0.14333231938283755
3DD.0077375783,2024,Fall,0.31334399827096643,0.9953642797131104,0.9987734466071976,0.8539785671577419,2.7657130164187134e-4,1.014860148187918e-5,0.14573471293913431
3DD.0077576277,2017,Fall,0.9880314569933488,0.7935537854836177,1,0.08607209966003286,0.07122134585155757,0,0.8427065544884095
3DD.0077746EFE,2024,Fall,0.2979192092060365,0.995228358855026,0.9986646481338416,0.856719465336564,2.793196300586213e-4,1.0840748060290496e-5,0.14299037428531716
3DD.007779F4BE,2018,Fall,0.583320752836979,0.9048049196024662,0.7817937001359397,0.7718025054162919,0.008458648103224312,0.0026889553339692032,0.2170498911465145
3DD.00778F7049,2019,Fall,0.5826856892781932,0.4961630714038117,0.27130611132984056,0.7405591351036628,0.04289123989659642,0.008603072499890708,0.20794655249985017
3DD.007790CB64,2018,Fall,0.9872574863670058,0.9644483054226988,1,0.09680668038395884,0.012956648198837068,0,0.8902366714172041
3DD.007792DA1B,2025,Fall,0.5435731249236061,0.7619392220500469,0.7331526271706681,0.777819910052548,0.019461568330125505,0.0030253997646500237,0.19969312185267632
3DD.0077A3F119,2018,Fall,0.8560321655520855,0.8775267806381774,0.8291338484325788,0.5368723360286014,0.021909316425119018,0.004239099222883386,0.43697924832339624
3DD.0077A4D19C,2019,Fall,0.6952311317663312,0.9123695683864032,0.7888254698427987,0.7128128860374979,0.009832003630670187,0.0032859312034009434,0.274069179128431
3DD.0077AAC35A,2020,Fall,0.9767544491957384,0.6255624266252557,1,0.14676304466922058,0.1134066268929368,0,0.7398303284378427
3DD.0078C59233,2025,Fall,0.4611844660118076,0.9481768084805186,0.9506333435719684,0.8178612162147715,0.0037735125709943388,4.98523011513734e-4,0.17786674820272053
3DD.0078C59572,2025,Fall,0.5199384482324814,0.8917959174151022,0.8800188286973503,0.7958171757976645,0.008604827535501786,0.001323248684434633,0.19425474798239903
3DD.0078C5B25B,2025,Fall,0.2595268240323484,0.9929542859459184,0.998280881414372,0.8630192495361089,3.9392931907546055e-4,1.332996403623497e-5,0.13657349118077944
3DD.0078C5B87A,2025,Fall,0.5314271158634909,0.6565332583007828,0.6230777908764158,0.7748367439557096,0.0272458200834574,0.004146644199162089,0.19377079176167095
