TagCode,wells_detected,entiat_detected,upstream_detected,last_overall,last_upstream,last_detected_upstream,ReturnYear,rrf_anchor,group,ReturnMonth,ReturnSeason,wells_interaction,EntiatDetected,Harvest_Status,harvest_open,WellsYear,FallSpillHours,FallTotalSpill,SpringSpillHours,SpringTotalSpill
3D9.1C2D9495B9,TRUE,TRUE,FALSE,2015-04-07T22:14:00Z,NA,FALSE,2014,2014-09-19T04:44:00Z,B,9,Fall,1,1,Open,1,2014,460,4187,285,4605.9
3D9.1C2D94B98C,TRUE,TRUE,FALSE,2015-04-09T22:36:00Z,NA,FALSE,2014,2014-09-19T07:41:00Z,B,9,Fall,1,1,Open,1,2014,460,4187,285,4605.9
3D9.1C2D96078C,TRUE,FALSE,FALSE,2014-08-20T13:27:00Z,NA,FALSE,2014,2014-08-18T07:29:00Z,B,8,Fall,1,0,Open,1,2014,460,4187,285,4605.9
3D9.1C2D98EDFE,TRUE,FALSE,FALSE,2015-08-19T10:45:00Z,NA,FALSE,2015,2015-08-16T16:36:00Z,B,8,Fall,1,0,Open,1,NA,460,4097.5,15,165.1
3D9.1C2D99DEAF,TRUE,TRUE,TRUE,2017-04-01T22:32:00Z,2016-10-17T11:35:00Z,FALSE,2016,2016-08-02T20:53:00Z,B,8,Fall,1,1,Closed,0,2016,460,3623,330,17709.1
3D9.1C2D9E8110,TRUE,FALSE,FALSE,2014-07-17T15:29:00Z,NA,FALSE,2014,2014-07-10T06:13:00Z,B,7,Fall,1,0,Open,1,2014,460,4187,285,4605.9
3D9.1C2D9EDD36,TRUE,TRUE,TRUE,2014-06-08T16:57:00Z,2014-04-12T10:03:00Z,FALSE,2013,2013-08-31T15:38:00Z,B,8,Fall,1,1,Open,1,2013,465,4206.5,189,2903
3D9.1C2D9EF5D0,TRUE,TRUE,FALSE,2014-04-18T16:58:00Z,NA,FALSE,2013,2013-09-26T08:45:00Z,B,9,Fall,1,1,Open,1,2013,465,4206.5,189,2903
3D9.1C2D9F0CEC,TRUE,FALSE,FALSE,2013-07-25T12:01:00Z,NA,FALSE,2013,2013-07-21T15:17:00Z,B,7,Fall,1,0,Open,1,2013,465,4206.5,189,2903
3D9.1C2D9F0CFB,TRUE,TRUE,FALSE,2014-04-24T11:39:00Z,NA,FALSE,2013,2013-08-28T08:25:00Z,B,8,Fall,1,1,Open,1,2013,465,4206.5,189,2903
3D9.1C2D9FD13B,TRUE,TRUE,FALSE,2017-04-10T20:01:00Z,NA,FALSE,2016,2016-08-18T13:45:00Z,B,8,Fall,1,1,Closed,0,2016,460,3623,330,17709.1
3D9.1C2D9FDE14,TRUE,TRUE,FALSE,2017-04-27T11:36:00Z,NA,FALSE,2016,2016-07-22T11:40:00Z,B,7,Fall,1,1,Closed,0,2016,460,3623,330,17709.1
3D9.1C2DD57BAA,TRUE,TRUE,TRUE,2017-04-13T14:21:00Z,2017-01-04T10:32:00Z,FALSE,2016,2016-09-08T01:43:00Z,B,9,Fall,1,1,Closed,0,2016,460,3623,330,17709.1
3D9.1C2DD6A680,TRUE,TRUE,TRUE,2015-03-18T11:28:00Z,2014-09-28T17:50:00Z,FALSE,2014,2014-07-13T13:28:00Z,B,7,Fall,1,1,Open,1,2014,460,4187,285,4605.9
3D9.1C2DD6D852,TRUE,TRUE,TRUE,2017-03-25T01:55:00Z,2016-10-18T14:04:00Z,FALSE,2016,2016-09-20T16:48:00Z,B,9,Fall,1,1,Closed,0,2016,460,3623,330,17709.1
3D9.1C2DD6F2D1,TRUE,TRUE,FALSE,2016-05-19T20:23:00Z,NA,FALSE,2015,2015-08-09T15:25:00Z,B,8,Fall,1,1,Open,1,2015,460,4097.5,15,165.1
3D9.1C2DD6F51A,TRUE,TRUE,FALSE,2016-05-30T19:35:00Z,NA,FALSE,2015,2015-07-06T14:40:00Z,B,7,Fall,1,1,Open,1,2015,460,4097.5,15,165.1
3D9.1C2DD731BF,TRUE,TRUE,TRUE,2015-05-21T04:27:00Z,2014-12-02T10:52:00Z,FALSE,2014,2014-10-02T11:41:00Z,B,10,Fall,1,1,Open,1,2014,460,4187,285,4605.9
3D9.1C2DD735C3,TRUE,TRUE,FALSE,2015-05-20T13:44:00Z,NA,FALSE,2014,2014-08-26T06:14:00Z,B,8,Fall,1,1,Open,1,2014,460,4187,285,4605.9
3D9.1C2DD750C8,TRUE,TRUE,TRUE,2014-04-12T15:52:00Z,2013-09-30T18:06:00Z,FALSE,2013,2013-09-06T08:21:00Z,B,9,Fall,1,1,Open,1,2013,465,4206.5,189,2903
3D9.1C2DD88BF0,TRUE,TRUE,FALSE,2016-03-16T02:53:00Z,NA,FALSE,2015,2015-09-19T15:58:00Z,B,9,Fall,1,1,Open,1,2015,460,4097.5,15,165.1
3D9.1C2DD95942,TRUE,TRUE,FALSE,2015-04-07T23:08:00Z,NA,FALSE,2014,2014-08-25T04:32:00Z,B,8,Fall,1,1,Open,1,2014,460,4187,285,4605.9
